itemType,id,sku,name,description,url,imageUrl,price,listPrice,currency,availability,category,gender,rating,reviewsCount,fabric,badges,colors,sizes
"Product","prod_w_6","prod_w_6","Women's Striped Pink & Orange Top and Skirt Co-Ord Set","Eye-catching summer stripes in pink & orange. Matching crop top and breezy tiered skirt.","https://show-offf-demo.vercel.app/product.html?id=prod_w_6","https://showoffff.in/cdn/shop/files/CHN-M2219_Pink_1_b774f30e-de10-4cce-b52e-9e60f37bbc69.jpg?v=1778330668&width=1080","1199","2799","INR","in_stock","Co-ord Sets","Women","4.9","62","Premium Rayon Blend","Website Xclusive","#EC4899|#F97316","XS|S|M|L"
"Product","prod_w_7","prod_w_7","Women's Floral Embroidered Black Shirt","Sophisticated black button-down shirt embellished with fine floral needlework.","https://show-offf-demo.vercel.app/product.html?id=prod_w_7","https://showoffff.in/cdn/shop/files/CHN-5395_Black_1_97fa6916-de8e-4ab3-a005-6c6c7e6fd0e1.jpg?v=1778329255&width=1080","999","2499","INR","in_stock","Shirts","Women","4.8","28","Cotton Silk","Bestseller","#111827|#1F2937","XS|S|M|L"
"Product","prod_w_8","prod_w_8","Women's Green Off-Shoulder Mini Dress","Flirty emerald green mini dress with elasticized off-shoulder neckline.","https://show-offf-demo.vercel.app/product.html?id=prod_w_8","https://showoffff.in/cdn/shop/files/CHN-2527_Green_1_c16f7a29-77c9-4e4c-a077-0cdd693de981.jpg?v=1778330615&width=1080","999","2499","INR","in_stock","Dresses","Women","4.8","46","Stretch Poplin","Website Xclusive","#15803D|#166534","XS|S|M|L"
"Product","prod_w_9","prod_w_9","Women's Emerald Green Satin Cowl Neck Slip Dress","Sensual cowl neckline slip dress with adjustable criss-cross back straps and a subtle side slit.","https://show-offf-demo.vercel.app/product.html?id=prod_w_9","https://images.unsplash.com/photo-1595777457583-95e059d581b8?auto=format&fit=crop&w=1080&q=80","1299","2999","INR","in_stock","Dresses","Women","4.9","142","Silky Premium Satin","Bestseller|Trending","#047857|#065F46","XS|S|M|L|XL"
"Product","prod_w_10","prod_w_10","Women's Black Boned Lace-Up Corset Crop Top","Sculpting corset top with boning structure, sweetheart neckline, and back zip closure.","https://show-offf-demo.vercel.app/product.html?id=prod_w_10","https://images.unsplash.com/photo-1503342217505-b0a15ec3261c?auto=format&fit=crop&w=1080&q=80","899","2199","INR","in_stock","Tops","Women","4.8","78","Structured Poly Crepe & Mesh","Hot Drop|New","#111827|#1F2937","XS|S|M|L"
"Product","prod_w_11","prod_w_11","Women's High-Rise Pleated Wide Leg Tailored Trousers","Timeless front-pleat tailored trousers with a high-rise waist and fluid wide-leg silhouette.","https://show-offf-demo.vercel.app/product.html?id=prod_w_11","https://images.unsplash.com/photo-1594633312681-425c7b97ccd1?auto=format&fit=crop&w=1080&q=80","1199","2799","INR","in_stock","Trousers","Women","4.9","110","Poly-Viscose Suiting Fabric","Bestseller|Website Xclusive","#D4AF37|#2D3748|#E2E8F0","26|28|30|32|34"
"Product","prod_w_12","prod_w_12","Women's Metallic Silver Pleated Shimmer Midi Skirt","Catch the light with every step in this stunning metallic accordion pleated midi skirt with elasticated waist.","https://show-offf-demo.vercel.app/product.html?id=prod_w_12","https://images.unsplash.com/photo-1583496661160-fb5886a0aaaa?auto=format&fit=crop&w=1080&q=80","999","2499","INR","in_stock","Skirts","Women","4.7","56","Micro-Pleated Metallic Foil Knit","Trending|Party Edit","#94A3B8|#CBD5E1","XS|S|M|L"
"Product","prod_w_13","prod_w_13","Women's Floral Jacquard Double-Breasted Statement Blazer","Luxury tailored blazer with ornate floral jacquard weave, gold crest buttons, and peak lapels.","https://show-offf-demo.vercel.app/product.html?id=prod_w_13","https://images.unsplash.com/photo-1539571696357-5a69c17a67c6?auto=format&fit=crop&w=1080&q=80","1899","4499","INR","in_stock","Blazers","Women","4.9","65","Rich Woven Jacquard Brocade","Premium|New","#4C1D95|#831843","S|M|L|XL"
"Product","prod_w_14","prod_w_14","Women's Pastel Lilac Fuzzy Knit Cropped Cardigan","Ultra-cozy fuzzy cropped cardigan with tortoiseshell front buttons and ribbed cuffs.","https://show-offf-demo.vercel.app/product.html?id=prod_w_14","https://images.unsplash.com/photo-1434389677669-e08b4cac3105?auto=format&fit=crop&w=1080&q=80","899","2299","INR","in_stock","Tops","Women","4.8","89","Soft Feather Mohair Blend","New|Trending","#C084FC|#E9D5FF","XS|S|M|L"
"Product","prod_w_15","prod_w_15","Women's Bohemian Tiered Floral Print Halter Maxi Dress","Dreamy vacation vibes with tiered ruffles, backless halter tie, and tropical botanical prints.","https://show-offf-demo.vercel.app/product.html?id=prod_w_15","https://images.unsplash.com/photo-1496747611176-843222e1e57c?auto=format&fit=crop&w=1080&q=80","1399","3299","INR","in_stock","Dresses","Women","4.9","134","Lightweight Breathable Chiffon","Vacay Fits|Bestseller","#EA580C|#FDBA74","XS|S|M|L|XL"
"Product","prod_w_16","prod_w_16","Women's One-Shoulder Asymmetric Draped Evening Jumpsuit","Sleek one-shoulder silhouette with structured waist sash and tapered straight-leg cut.","https://show-offf-demo.vercel.app/product.html?id=prod_w_16","https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?auto=format&fit=crop&w=1080&q=80","1499","3799","INR","in_stock","Jumpsuits","Women","4.8","47","Heavyweight Stretch Scuba Crepe","Party Edit|Exclusive","#18181B|#3F3F46","XS|S|M|L"
"Product","prod_m_1","prod_m_1","Men's Blue Botanical Floral Print Casual Resort Shirt","Embrace relaxed luxury in this vibrant blue botanical resort shirt with Cuban collar and breathable fit.","https://show-offf-demo.vercel.app/product.html?id=prod_m_1","https://images.unsplash.com/photo-1596755094514-f87e34085b2c?auto=format&fit=crop&w=1080&q=80","999","2499","INR","in_stock","Shirts","Men","4.9","88","100% Breathable Rayon","Bestseller|New","#1E40AF|#3B82F6","S|M|L|XL|XXL"
"Product","prod_m_2","prod_m_2","Men's Black & White Abstract Print Resort Shirt","Modern artistic statement piece designed with bold brush strokes and comfort fit.","https://show-offf-demo.vercel.app/product.html?id=prod_m_2","https://images.unsplash.com/photo-1602810318383-e386cc2a3ccf?auto=format&fit=crop&w=1080&q=80","999","2499","INR","in_stock","Shirts","Men","4.8","54","Lightweight Viscose","Bestseller","#111827|#374151","S|M|L|XL"
"Product","prod_m_3","prod_m_3","Men's Tailored Royal Navy Two-Button Blazer","Sharp slim-fit blazer tailored for formal events, parties, and weddings. Notch lapel and double back vent.","https://show-offf-demo.vercel.app/product.html?id=prod_m_3","https://images.unsplash.com/photo-1507679799987-c73779587ccf?auto=format&fit=crop&w=1080&q=80","1999","4999","INR","in_stock","Blazers","Men","4.9","92","Poly-Viscose Structured Weave","Bestseller|Premium","#0F172A|#1E293B","38|40|42|44"
"Product","prod_m_4","prod_m_4","Men's Pastel Pink Embroidered Nehru Jacket / Bandi","Celebratory elegance. Pair this pastel pink embroidered bandi over a crisp white kurta.","https://show-offf-demo.vercel.app/product.html?id=prod_m_4","https://images.unsplash.com/photo-1610030469983-98e550d6193c?auto=format&fit=crop&w=1080&q=80","1499","3999","INR","in_stock","Ethnic","Men","4.8","41","Raw Silk Blend with Zari Work","New|Festive","#F472B6|#FB7185","38|40|42|44"
"Product","prod_m_5","prod_m_5","Men's Classic Slim Fit Light Wash Denim Jeans","Everyday stretch denim jeans engineered for comfort and modern style.","https://show-offf-demo.vercel.app/product.html?id=prod_m_5","https://images.unsplash.com/photo-1542272604-780c96856592?auto=format&fit=crop&w=1080&q=80","1199","2999","INR","in_stock","Jeans","Men","4.7","76","98% Cotton 2% Elastane","Bestseller","#3B82F6|#60A5FA","30|32|34|36|38"
"Product","prod_m_6","prod_m_6","Men's White Pure Linen Mandarin Collar Casual Shirt","Crisp and breathable mandarin band collar shirt designed for refined warm-weather elegance.","https://show-offf-demo.vercel.app/product.html?id=prod_m_6","https://images.unsplash.com/photo-1598033129183-c4f50c736f10?auto=format&fit=crop&w=1080&q=80","1099","2699","INR","in_stock","Shirts","Men","4.9","156","100% Organic European Linen","Bestseller|New","#FFFFFF|#F3F4F6","S|M|L|XL|XXL"
"Product","prod_m_7","prod_m_7","Men's Sage Green Textured Knit Zip Polo Shirt","Contemporary quarter-zip knit polo featuring micro-waffle texture and tailored slim fit.","https://show-offf-demo.vercel.app/product.html?id=prod_m_7","https://images.unsplash.com/photo-1620012253295-c15c429fcc70?auto=format&fit=crop&w=1080&q=80","999","2499","INR","in_stock","Shirts","Men","4.8","92","Mercerized Ribbed Cotton Knit","Trending|Hot Drop","#4D7C0F|#65A30D","S|M|L|XL"
"Product","prod_m_8","prod_m_8","Men's Acid Wash Charcoal Heavyweight Oversized Graphic Tee","Urban streetwear oversized t-shirt with vintage acid wash treatment and drop shoulders.","https://show-offf-demo.vercel.app/product.html?id=prod_m_8","https://images.unsplash.com/photo-1521572267360-ee0c2909d518?auto=format&fit=crop&w=1080&q=80","799","1999","INR","in_stock","Tops","Men","4.8","114","240 GSM Heavyweight Combed Cotton","Streetwear|New","#27272A|#3F3F46","S|M|L|XL|XXL"
"Product","prod_m_9","prod_m_9","Men's Relaxed Fit Double-Pleat Wide Leg Trousers","Sartorial relaxed-fit trousers with twin front pleats, slant pockets, and wide drape legs.","https://show-offf-demo.vercel.app/product.html?id=prod_m_9","https://images.unsplash.com/photo-1479064555552-3ef4979f8908?auto=format&fit=crop&w=1080&q=80","1299","3199","INR","in_stock","Trousers","Men","4.9","88","Poly-Rayon Drape Twill","Bestseller|Trending","#78716C|#A8A29E","30|32|34|36|38"
"Product","prod_m_10","prod_m_10","Men's Caramel Tan Faux Suede Trucker Jacket","Western trucker jacket crafted in rich caramel tan suede with branded snap buttons and chest flap pockets.","https://show-offf-demo.vercel.app/product.html?id=prod_m_10","https://images.unsplash.com/photo-1548883354-7622d03aca27?auto=format&fit=crop&w=1080&q=80","1799","4299","INR","in_stock","Jackets","Men","4.9","73","Velvety Soft Faux Suede","Premium|Bestseller","#9A3412|#C2410C","S|M|L|XL"
"Product","prod_m_11","prod_m_11","Men's Cuban Collar Terracotta Geometric Print Resort Shirt","Retro bohemian resort shirt with Aztec geo motifs, open notch collar, and relaxed boxy drape.","https://show-offf-demo.vercel.app/product.html?id=prod_m_11","https://images.unsplash.com/photo-1602810318383-e386cc2a3ccf?auto=format&fit=crop&w=1080&q=80","999","2499","INR","in_stock","Shirts","Men","4.8","64","100% Breathable Rayon","Vacay Fits|New","#C2410C|#9A3412","S|M|L|XL|XXL"
"Product","prod_m_12","prod_m_12","Men's Stretch Cotton Slim Fit Khaki Chino Pants","Versatile slim-cut chino trousers built with flexible stretch for smart-casual all-day wear.","https://show-offf-demo.vercel.app/product.html?id=prod_m_12","https://images.unsplash.com/photo-1624378439575-d8705ad7ae80?auto=format&fit=crop&w=1080&q=80","1099","2599","INR","in_stock","Trousers","Men","4.8","140","97% Cotton 3% Spandex Twill","Essential|Bestseller","#D4B996|#A08A6F","30|32|34|36|38"
"Product","prod_c_1","prod_c_1","Plus Size Women's Emerald Green Ruched Maxi Dress","Flattering curve silhouette with side ruched details and v-neckline.","https://show-offf-demo.vercel.app/product.html?id=prod_c_1","https://images.unsplash.com/photo-1572804013309-59a88b7e92f1?auto=format&fit=crop&w=1080&q=80","1299","3199","INR","in_stock","Dresses","Curve","4.9","115","Super Stretch Lycra Jersey","Curve|Bestseller","#064E3B|#047857","1XL|2XL|3XL|4XL|5XL"
"Product","prod_c_2","prod_c_2","Plus Size Men's Burgundy Floral Linen Shirt (Up to 5XL)","Generous comfortable cut tailored specifically for plus size confidence.","https://show-offf-demo.vercel.app/product.html?id=prod_c_2","https://images.unsplash.com/photo-1596755094514-f87e34085b2c?auto=format&fit=crop&w=1080&q=80","1099","2699","INR","in_stock","Shirts","Curve","4.8","68","Pure Linen Blend","Curve|New","#881337|#9F1239","2XL|3XL|4XL|5XL"
"Product","prod_c_3","prod_c_3","Plus Size Women's High-Waist Wide Leg Denim Pants","Flattering wide-leg fit with elastic back waistband for all-day ease.","https://show-offf-demo.vercel.app/product.html?id=prod_c_3","https://images.unsplash.com/photo-1582533561751-ef6f6ab93a2e?auto=format&fit=crop&w=1080&q=80","1299","3299","INR","in_stock","Jeans","Curve","4.8","52","Soft Stretch Denim","Curve","#1E3A8A|#1D4ED8","36|38|40|42|44"
"Product","prod_c_4","prod_c_4","Plus Size Women's Royal Blue Satin Wrap Midi Dress","Figure-accentuating true wrap dress with adjustable waist tie, flutter sleeves, and high-low hem.","https://show-offf-demo.vercel.app/product.html?id=prod_c_4","https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?auto=format&fit=crop&w=1080&q=80","1399","3499","INR","in_stock","Dresses","Curve","4.9","96","Stretch Liquid Satin","Curve|Bestseller","#1E40AF|#1D4ED8","1XL|2XL|3XL|4XL|5XL"
"Product","prod_c_5","prod_c_5","Plus Size Women's Black & Gold Floral Peplum Blouse","Elegant v-neck peplum blouse with gold foil botanical print and smocked back waist.","https://show-offf-demo.vercel.app/product.html?id=prod_c_5","https://images.unsplash.com/photo-1503342217505-b0a15ec3261c?auto=format&fit=crop&w=1080&q=80","999","2499","INR","in_stock","Tops","Curve","4.8","58","Textured Poly Georgette with Lining","Curve|New","#000000|#CA8A04","1XL|2XL|3XL|4XL"
"Product","prod_c_6","prod_c_6","Plus Size Women's Tailored Camel Trench Shrug Jacket","Sophisticated open-front trench layer with lapels, side pockets, and detachable tie belt.","https://show-offf-demo.vercel.app/product.html?id=prod_c_6","https://images.unsplash.com/photo-1539571696357-5a69c17a67c6?auto=format&fit=crop&w=1080&q=80","1499","3799","INR","in_stock","Jackets","Curve","4.9","82","Structured Stretch Cotton Blend","Curve|Trending","#C2A280|#8D6E4E","1XL|2XL|3XL|4XL|5XL"
"Product","prod_c_7","prod_c_7","Plus Size Men's Olive Green Linen Short-Sleeve Resort Kurta","Breezy short kurta featuring subtle self-stripe texture, wooden buttons, and relaxed side slits.","https://show-offf-demo.vercel.app/product.html?id=prod_c_7","https://images.unsplash.com/photo-1610030469983-98e550d6193c?auto=format&fit=crop&w=1080&q=80","1199","2899","INR","in_stock","Ethnic","Curve","4.8","45","Pure Cotton-Linen Slub","Curve|Festive","#3F6212|#4D7C0F","2XL|3XL|4XL|5XL"
"Product","prod_c_8","prod_c_8","Plus Size Women's High-Rise Paperbag Waist Cropped Trousers","Chic paperbag waist trousers with self-tie belt, elasticated ruffled waist, and deep utility pockets.","https://show-offf-demo.vercel.app/product.html?id=prod_c_8","https://images.unsplash.com/photo-1582533561751-ef6f6ab93a2e?auto=format&fit=crop&w=1080&q=80","1199","2999","INR","in_stock","Trousers","Curve","4.8","69","Four-Way Stretch Suiting Crepe","Curve|Bestseller","#1F2937|#4B5563","36|38|40|42|44"
